VARIABLES = "X" "temp"  "u" "rho" "H2"  "H" "O" "O2"  "OH"  "H2O" "HO2" "H2O2"  "C" "CH"  "CH2" "CH2(S)"  "CH3" "CH4" "CO"  "CO2" "HCO" "CH2O"  "CH2OH" "CH3O"  "CH3OH" "C2H" "C2H2"  "C2H3"  "C2H4"  "C2H5"  "C2H6"  "HCCO"  "CH2CO" "HCCOH" "N" "NH"  "NH2" "NH3" "NNH" "NO"  "NO2" "N2O" "HNO" "CN"  "HCN" "H2CN"  "HCNN"  "HCNO"  "HOCN"  "HNCO"  "NCO" "N2"  "AR"  "C3H7"  "C3H8"  "CH2CHO"  "CH3CHO"
ZONE I=0494 FORMAT=POINT
0.0 300.0 37.3562875261 0.0011225173020825302 7.91932377259e-08 1.98026370341e-13 3.74402884014e-14 0.190114053531  2.9376402769e-13  1.33181775287e-13 6.13581100351e-15 -6.07125805783e-14  2.00745388308e-13 -2.26605786744e-30  1.63508733303e-14 8.11212835302e-28 -1.9447616825e-13 0.0950570263356 5.40978790299e-15 2.25494707248e-16 -1.51926946693e-20  9.11594661486e-13 8.9043802875e-26  5.60431325587e-20 1.21999297759e-14 -1.1359520464e-13 -1.08738431771e-14  -1.09034913427e-33  6.98415884428e-13 1.86338560569e-20 -5.57740218146e-14  2.2024291146e-28  2.11577003578e-15 -2.26679937883e-14  8.25618627747e-13 -3.72833879391e-13  2.70549780426e-15 -2.79547684012e-15  4.15763130959e-29 4.32422657554e-15 -5.54879109909e-14  2.1087502007e-16  6.53278547267e-15 -1.59892624357e-16  -6.962010375e-14  7.89661184151e-14 9.46848812837e-31 -5.60630807276e-18  1.25498373311e-19 3.75626972058e-15 -4.46093542634e-18  0.714828840938  2.71550062997e-76 -1.14614174257e-13  2.71977628329e-14 -7.55227686881e-25  -3.76837622577e-16
0.15  300.000000027 37.356307181  0.0011225167114755615 6.48005375319e-07 1.04363758361e-17 7.01521516742e-13 0.190113946444  -6.00509368142e-16  3.41935945251e-12 1.7109425212e-13  -6.54365977146e-14  3.14693780995e-19 6.76244011987e-31 5.21501034476e-19 2.04181748613e-26 -2.0440070988e-13 0.0950569696993 1.5103486364e-13  8.18642945503e-15 -5.54071937083e-19  9.14763053352e-13 3.29770839418e-24 2.07545975262e-18 1.22127037797e-14 -1.07371768452e-19  -1.08678630095e-14  -1.0434467365e-31 6.98471661452e-13 7.15685990269e-19 -5.57548305291e-14  5.07126374162e-27 2.11586290457e-15 -2.26679822997e-14  3.30796718036e-13 -2.2971649277e-15 2.77102120248e-15 -2.79458226306e-15  1.17079759246e-27 1.2148696358e-13  -5.5482351592e-14 2.1087588589e-16  6.47959082567e-15 -4.31450699329e-22  -6.96048080622e-14  7.90616808058e-14 3.0069181645e-31  -5.60514654985e-18  1.25513856383e-19 3.75627917166e-15 -1.66299887938e-16  0.714828435845  9.97438520467e-76 -1.14630259233e-13  2.71974037295e-14 -3.22153598977e-23  -3.76796981112e-16
0.225 300.000000275 37.3563699682 0.0011225148247904528 2.46448761865e-06 3.30631261339e-21 8.23994119005e-13 0.190113604463  3.89112973444e-16 3.58915619342e-11 1.97938203763e-13 -5.76282855366e-14  1.02035621866e-24 7.59389746041e-38 4.41487419451e-23 1.74608400222e-30 -1.67979234944e-13  0.0950567888169 1.83914628788e-12 1.72217336378e-14 -6.30536210614e-24  9.16253432171e-13 1.79368212735e-25 2.12585031045e-18 1.23938148737e-14 -2.06907753908e-25  -1.07898586187e-14  2.87395061795e-35 6.98863059575e-13 2.09190083269e-19 -5.54743821751e-14  -2.8445984545e-27 2.1173746404e-15  -2.26679449594e-14  1.90347814936e-13 -2.91698904292e-17  3.2135788887e-15  -2.78566091692e-15  3.72610886803e-31 2.61371838065e-13 -5.54613538638e-14  2.10888691384e-16 6.4792295016e-15  -2.38066682223e-27  -6.95996530292e-14  7.90891119254e-14 1.79017030435e-36 -5.58912520947e-18  1.2572855396e-19  3.75643132299e-15 -1.66412331272e-16  0.714827142192  1.47340452213e-75 -1.14627338907e-13  2.71972128068e-14 1.05699914801e-23 -3.76150607993e-16
0.3 300.000003591 37.3566585165 0.0011225061543212172 1.08044544114e-05 2.76581964977e-21 8.97087530704e-13 0.190112034283  5.23029680525e-16 4.68808641124e-10 5.08845638928e-13 9.4057206965e-14  3.41771642393e-30 -6.13798107269e-40  5.76681808633e-24 1.06349554403e-27 -9.05371624213e-14  0.0950559581375 2.6252647363e-11  1.85802534355e-13 7.22804657898e-25 9.43952474419e-13 -8.63199561475e-27  2.09663522191e-18 1.5877026138e-14  -4.0629063304e-31 -9.4073310005e-15 3.85513375431e-30 7.05996246374e-13 -1.12205300271e-19  -4.99068044901e-14  -5.98761540091e-27  2.15028809978e-15 -2.26677593654e-14  1.09291406779e-13 -3.82863607154e-19  7.34026791376e-15 -2.66368500381e-15  3.10279351276e-31 3.44535664725e-13 -5.51375253965e-14  2.1113502927e-16  6.48349055257e-15 -1.33509917196e-32  -6.95840736552e-14  7.91044220067e-14 -2.39851510721e-40  -5.28866036689e-18  1.29759776862e-19 3.7593766032e-15  -1.6652186788e-16 0.714821202626  1.97230707071e-75 -1.14617768159e-13  2.71974265084e-14 3.49711725403e-23 -3.6199115138e-16
0.3375  300.000020701 37.3571927688 0.0011224901011484118 2.62060273049e-05 3.69121673241e-21 9.62412330093e-13 0.190109134332  5.65353067367e-16 2.68809498948e-09 2.20273256366e-12 9.53601897119e-13 2.43604699458e-35 -3.06679876558e-40  4.26508721416e-24 3.17781388494e-27 1.23200127871e-13 0.0950544231426 1.61704589186e-10 1.38642822677e-12 9.33757222259e-25 1.14342263716e-12 -1.98545142186e-26  2.21316949698e-18 4.14322405287e-14 -1.65530625702e-36  -4.45143105816e-17  7.13792401917e-30 7.56055020891e-13 -2.4769089942e-19 -7.75290884053e-15  -4.21952004201e-27  2.42274458967e-15 -2.26673011859e-14  8.00581711707e-14 -1.05474247967e-20  2.22856779076e-14 -2.02278543268e-15  4.14087751086e-31 3.81147206719e-13 -5.3045395209e-14 2.12914892215e-16 6.50812836801e-15 1.00804600078e-34 -6.94906850461e-14  7.91092564768e-14 -1.72955801695e-40  -3.1372880195e-18 1.58632119224e-19 3.78062327426e-15 -1.66523193428e-16  0.71481023364 2.24315486736e-75 -1.14610398273e-13  2.720257012e-14 4.50558799943e-23 -2.43830464572e-16
0.375 300.000144106 37.358695848  0.001122444939199114  6.92624765696e-05 7.76401616564e-21 1.22203215303e-12 0.190101025313  7.22817580921e-16 1.85974028653e-08 1.52587924827e-11 7.63687828072e-12 1.84082747795e-40 -8.90729566448e-41  3.19433468115e-24 5.63894097371e-27 1.53006756767e-12 0.0950501255572 1.20887220629e-09 1.31875943678e-11 1.55288251419e-24 3.1266234795e-12  -2.23717358082e-26  9.20788910122e-18 2.99931805655e-13 1.56382681892e-39 8.76214213112e-14 1.06969591954e-29 1.24082789045e-12 -5.02044810397e-19  4.31860641684e-13 3.19647045084e-26 5.51986003817e-15 -2.266474659e-14  5.85180011607e-14 4.46694745995e-24 9.94362216407e-14 2.68176770837e-15 8.70952747217e-31 4.57007035112e-13 -3.4218982903e-14 2.30592750485e-16 6.69982677767e-15 1.20331902767e-34 -6.85653675036e-14  7.91119489918e-14 -1.30451732403e-40  1.81201096575e-17 4.43935699732e-19 3.9909453846e-15  -1.66027672415e-16  0.714779566803  2.50500103436e-75 -1.14596930471e-13  2.72752978051e-14 6.6755923585e-23  1.11042479727e-15
0.39375 300.00049326  37.3604851736 0.0011223911813477432 0.000119781965002 1.92211865631e-20 1.7556947548e-12  0.190091505164  1.09740242278e-15 6.33541187019e-08 5.46750730704e-11 2.79351909655e-11 2.43438296191e-45 -5.77920313672e-40  2.99295257914e-24 1.44576070935e-26 5.44353769341e-12 0.0950450664549 4.37558881371e-09 5.81608626851e-11 4.23204392085e-24 1.07686380048e-11 -1.40420713399e-26  1.14646355015e-16 1.31278808933e-12 1.2457698504e-38  4.06393193002e-13 2.44288256714e-29 3.0616421817e-12  -1.03751147841e-18  2.20605613865e-12 2.4124669419e-25  1.91083937387e-14 -2.26563201327e-14  4.95477438428e-14 1.29685795003e-21 2.58430497506e-13 1.62179560559e-14 2.15613379881e-30 6.30603980016e-13 3.16987055832e-14 2.98587402158e-16 7.28158703264e-15 1.28033250922e-34 -6.49630128295e-14  7.9115639046e-14  -9.52698185474e-41  9.95437296291e-17 1.53677404755e-18 4.79696147206e-15 -1.63968772732e-16  0.714743578519  2.59408932593e-75 -1.14582016069e-13  2.76488756397e-14 1.47007279785e-22 7.10029411032e-15
0.4125  300.001926494 37.3639777353 0.0011222862669195415 0.000215654483839 9.07121543223e-20 3.43598082573e-12 0.190073416159  3.04147484519e-15 2.46152356845e-07 2.26498723012e-10 1.16887407076e-10 -2.10963553984e-45  -1.30604515759e-40  5.79094815748e-24 1.22938806458e-25 2.14362754415e-11 0.095035405132  1.81995021435e-08 3.01667123076e-10 3.17360078726e-23 5.25775033045e-11 9.3312743675e-26  1.76325343184e-15 6.94175743403e-12 1.7797854204e-37  2.0581251105e-12  2.23463408432e-28 1.27868023345e-11 -3.1736974002e-18 1.2344403905e-11  2.44048704925e-24 1.03127907104e-13 -2.26085702719e-14  4.19515488289e-14 7.9057894692e-21  7.4830473498e-13  7.2664432469e-14  1.01754215044e-29 1.36061311089e-12 3.61432966819e-13 6.6987382471e-16  9.82877522248e-15 1.33958417326e-34 -4.50251346395e-14  7.9140086082e-14  2.22881788609e-41 5.42522803602e-16 7.48231184493e-18 9.18266353269e-15 -1.52733365446e-16  0.714675259114  2.63705694065e-75 -1.14543256368e-13  3.03080521447e-14 9.31246457697e-22 4.44207109919e-14
0.43125 300.007807411 37.3710028041 0.001122075297518968  0.000397584700027 7.80758256753e-19 8.74892473467e-12 0.190038993272  2.15251052776e-14 9.9271315229e-07  9.75496868852e-10 5.06666789023e-10 -7.59596553609e-46  2.00230255361e-39 8.60680373893e-23 3.48412056424e-24 8.75684733495e-11 0.0950168311136 7.85434054997e-08 1.62005721474e-09 4.28965755468e-22 2.81277276067e-10 1.98456793658e-24 2.68510466852e-14 3.82232692739e-11 6.50860241804e-36 1.06162664101e-11 7.8445918209e-27  6.47269795911e-11 -1.18777257352e-17  6.97719937706e-11 3.21435653682e-23 6.22601693895e-13 -2.23216024258e-14  3.55201431945e-14 6.02718715312e-20 2.25761663368e-12 3.08018709104e-13 8.75875287441e-29 4.53888362611e-12 2.01073237881e-12 2.69705898783e-15 2.09773041626e-14 1.39592858547e-34 6.53681880777e-14 7.92904036124e-14 1.26615171879e-40 2.95239964051e-15 3.98270487306e-17 3.30427807983e-14 -9.18516273276e-17  0.714545515984  2.68423087464e-75 -1.14425797383e-13  4.92005765246e-14 1.15118405355e-20 2.76937044524e-13
0.440625  300.017587403 37.3774904187 0.0011218805388073312 0.00054978346233  3.62072316126e-18 1.57209324889e-11 0.19001003773 1.16725275206e-13 2.22937340185e-06 2.29349507e-09  1.195820305e-09 3.0059142013e-45  6.98849926332e-38 9.10885301214e-22 4.26150726231e-23 1.97582714338e-10 0.0950009340301 1.84863352914e-07 4.46152354699e-09 2.39245925446e-21 7.78859256535e-10 1.58852235208e-23 1.58454146954e-13 1.073206815e-10 9.42254634147e-35 2.83139702849e-11 1.15003713211e-25 1.75241866528e-10 -2.38618656398e-17  1.9982613273e-10  1.54428341946e-22 1.89191238405e-12 -2.16262870694e-14  3.26795072153e-14 2.06776949837e-19 4.19014482997e-12 7.05367886961e-13 4.06297576554e-28 1.01613415644e-11 5.31001263297e-12 7.10091648397e-15 4.06584893509e-14 1.65037352182e-34 3.08404499808e-13 7.96331194832e-14 2.98365579734e-38 8.16976667452e-15 1.09853229705e-16 8.47006219311e-14 3.9157588219e-17  0.714436821064  2.78207737745e-75 -1.14280977662e-13  1.01869552978e-13 5.59137867109e-20 8.4922203121e-13
